function,taylor_expansion
sin(x),-x**3/6 + x
cos(x),x**4/24 - x**2/2 + 1
exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
log(x + 1),-x**4/4 + x**3/3 - x**2/2 + x
tan(x),x**3/3 + x
sinh(x),x**3/6 + x
cosh(x),x**4/24 + x**2/2 + 1
tanh(x),-x**3/3 + x
exp(-x),x**4/24 - x**3/6 + x**2/2 - x + 1
1/(1 - x),x**4 + x**3 + x**2 + x + 1
1/(x + 1),x**4 - x**3 + x**2 - x + 1
sqrt(x + 1),-5*x**4/128 + x**3/16 - x**2/8 + x/2 + 1
sin(2*x),-4*x**3/3 + 2*x
sin(2*x**2),2*x**2
2*sin(x),-x**3/3 + 2*x
2*sin(2*x),-8*x**3/3 + 4*x
sin(3*x),-9*x**3/2 + 3*x
sin(3*x**2),3*x**2
3*sin(x),-x**3/2 + 3*x
3*sin(2*x),-4*x**3 + 6*x
sin(4*x),-32*x**3/3 + 4*x
sin(4*x**2),4*x**2
4*sin(x),-2*x**3/3 + 4*x
4*sin(2*x),-16*x**3/3 + 8*x
sin(5*x),-125*x**3/6 + 5*x
sin(5*x**2),5*x**2
5*sin(x),-5*x**3/6 + 5*x
5*sin(2*x),-20*x**3/3 + 10*x
-sin(x),x**3/6 - x
-sin(x**2),-x**2
-sin(2*x),4*x**3/3 - 2*x
-sin(2*x**2),-2*x**2
-2*sin(x),x**3/3 - 2*x
-2*sin(2*x),8*x**3/3 - 4*x
-sin(3*x),9*x**3/2 - 3*x
-sin(3*x**2),-3*x**2
-3*sin(x),x**3/2 - 3*x
-3*sin(2*x),4*x**3 - 6*x
sin(x/2),-x**3/48 + x/2
sin(x**2/2),x**2/2
sin(x)/2,-x**3/12 + x/2
sin(2*x)/2,-2*x**3/3 + x
sin(x/3),-x**3/162 + x/3
sin(x**2/3),x**2/3
sin(x)/3,-x**3/18 + x/3
sin(2*x)/3,-4*x**3/9 + 2*x/3
sin(x/4),-x**3/384 + x/4
sin(x**2/4),x**2/4
sin(x)/4,-x**3/24 + x/4
sin(2*x)/4,-x**3/3 + x/2
sin(2*x/3),-4*x**3/81 + 2*x/3
sin(2*x**2/3),2*x**2/3
2*sin(x)/3,-x**3/9 + 2*x/3
2*sin(2*x)/3,-8*x**3/9 + 4*x/3
sin(3*x/2),-9*x**3/16 + 3*x/2
sin(3*x**2/2),3*x**2/2
3*sin(x)/2,-x**3/4 + 3*x/2
3*sin(2*x)/2,-2*x**3 + 3*x
cos(2*x),2*x**4/3 - 2*x**2 + 1
cos(2*x**2),1 - 2*x**4
2*cos(x),x**4/12 - x**2 + 2
2*cos(2*x),4*x**4/3 - 4*x**2 + 2
cos(3*x),27*x**4/8 - 9*x**2/2 + 1
cos(3*x**2),1 - 9*x**4/2
3*cos(x),x**4/8 - 3*x**2/2 + 3
3*cos(2*x),2*x**4 - 6*x**2 + 3
cos(4*x),32*x**4/3 - 8*x**2 + 1
cos(4*x**2),1 - 8*x**4
4*cos(x),x**4/6 - 2*x**2 + 4
4*cos(2*x),8*x**4/3 - 8*x**2 + 4
cos(5*x),625*x**4/24 - 25*x**2/2 + 1
cos(5*x**2),1 - 25*x**4/2
5*cos(x),5*x**4/24 - 5*x**2/2 + 5
5*cos(2*x),10*x**4/3 - 10*x**2 + 5
cos(x**2),1 - x**4/2
-cos(x),-x**4/24 + x**2/2 - 1
-cos(2*x),-2*x**4/3 + 2*x**2 - 1
-2*cos(x),-x**4/12 + x**2 - 2
-2*cos(2*x),-4*x**4/3 + 4*x**2 - 2
-3*cos(x),-x**4/8 + 3*x**2/2 - 3
-3*cos(2*x),-2*x**4 + 6*x**2 - 3
cos(x/2),x**4/384 - x**2/8 + 1
cos(x**2/2),1 - x**4/8
cos(x)/2,x**4/48 - x**2/4 + 1/2
cos(2*x)/2,x**4/3 - x**2 + 1/2
cos(x/3),x**4/1944 - x**2/18 + 1
cos(x**2/3),1 - x**4/18
cos(x)/3,x**4/72 - x**2/6 + 1/3
cos(2*x)/3,2*x**4/9 - 2*x**2/3 + 1/3
cos(x/4),x**4/6144 - x**2/32 + 1
cos(x**2/4),1 - x**4/32
cos(x)/4,x**4/96 - x**2/8 + 1/4
cos(2*x)/4,x**4/6 - x**2/2 + 1/4
cos(2*x/3),2*x**4/243 - 2*x**2/9 + 1
cos(2*x**2/3),1 - 2*x**4/9
2*cos(x)/3,x**4/36 - x**2/3 + 2/3
2*cos(2*x)/3,4*x**4/9 - 4*x**2/3 + 2/3
cos(3*x/2),27*x**4/128 - 9*x**2/8 + 1
cos(3*x**2/2),1 - 9*x**4/8
3*cos(x)/2,x**4/16 - 3*x**2/4 + 3/2
3*cos(2*x)/2,x**4 - 3*x**2 + 3/2
exp(2*x),2*x**4/3 + 4*x**3/3 + 2*x**2 + 2*x + 1
exp(2*x**2),2*x**4 + 2*x**2 + 1
2*exp(x),x**4/12 + x**3/3 + x**2 + 2*x + 2
2*exp(2*x),4*x**4/3 + 8*x**3/3 + 4*x**2 + 4*x + 2
exp(3*x),27*x**4/8 + 9*x**3/2 + 9*x**2/2 + 3*x + 1
exp(3*x**2),9*x**4/2 + 3*x**2 + 1
3*exp(x),x**4/8 + x**3/2 + 3*x**2/2 + 3*x + 3
3*exp(2*x),2*x**4 + 4*x**3 + 6*x**2 + 6*x + 3
exp(4*x),32*x**4/3 + 32*x**3/3 + 8*x**2 + 4*x + 1
exp(4*x**2),8*x**4 + 4*x**2 + 1
4*exp(x),x**4/6 + 2*x**3/3 + 2*x**2 + 4*x + 4
4*exp(2*x),8*x**4/3 + 16*x**3/3 + 8*x**2 + 8*x + 4
exp(5*x),625*x**4/24 + 125*x**3/6 + 25*x**2/2 + 5*x + 1
exp(5*x**2),25*x**4/2 + 5*x**2 + 1
5*exp(x),5*x**4/24 + 5*x**3/6 + 5*x**2/2 + 5*x + 5
5*exp(2*x),10*x**4/3 + 20*x**3/3 + 10*x**2 + 10*x + 5
exp(-x**2),x**4/2 - x**2 + 1
-exp(x),-x**4/24 - x**3/6 - x**2/2 - x - 1
-exp(2*x),-2*x**4/3 - 4*x**3/3 - 2*x**2 - 2*x - 1
exp(-2*x),2*x**4/3 - 4*x**3/3 + 2*x**2 - 2*x + 1
exp(-2*x**2),2*x**4 - 2*x**2 + 1
-2*exp(x),-x**4/12 - x**3/3 - x**2 - 2*x - 2
-2*exp(2*x),-4*x**4/3 - 8*x**3/3 - 4*x**2 - 4*x - 2
exp(-3*x),27*x**4/8 - 9*x**3/2 + 9*x**2/2 - 3*x + 1
exp(-3*x**2),9*x**4/2 - 3*x**2 + 1
-3*exp(x),-x**4/8 - x**3/2 - 3*x**2/2 - 3*x - 3
-3*exp(2*x),-2*x**4 - 4*x**3 - 6*x**2 - 6*x - 3
exp(x/2),x**4/384 + x**3/48 + x**2/8 + x/2 + 1
exp(x**2/2),x**4/8 + x**2/2 + 1
exp(x)/2,x**4/48 + x**3/12 + x**2/4 + x/2 + 1/2
exp(2*x)/2,x**4/3 + 2*x**3/3 + x**2 + x + 1/2
exp(x/3),x**4/1944 + x**3/162 + x**2/18 + x/3 + 1
exp(x**2/3),x**4/18 + x**2/3 + 1
